clip,seizure,early
Patient_1_test_segment_1.mat,0.0355,0.02725
Patient_1_test_segment_10.mat,0.034,0.01975
Patient_1_test_segment_100.mat,0.63625,0.50725
Patient_1_test_segment_1000.mat,0.0515,0.03475
Patient_1_test_segment_1001.mat,0.068,0.03775
Patient_1_test_segment_1002.mat,0.1015,0.08975
Patient_1_test_segment_1003.mat,0.062,0.04025
Patient_1_test_segment_1004.mat,0.04725,0.03775
Patient_1_test_segment_1005.mat,0.1795,0.0725
Patient_1_test_segment_1006.mat,0.04925,0.037
Patient_1_test_segment_1007.mat,0.0425,0.03025
Patient_1_test_segment_1008.mat,0.04025,0.03175
Patient_1_test_segment_1009.mat,0.075,0.05775
Patient_1_test_segment_101.mat,0.03375,0.02675
Patient_1_test_segment_1010.mat,0.02325,0.018
Patient_1_test_segment_1011.mat,0.03125,0.02375
Patient_1_test_segment_1012.mat,0.02675,0.02125
Patient_1_test_segment_1013.mat,0.05975,0.04425
Patient_1_test_segment_1014.mat,0.0395,0.03125
Patient_1_test_segment_1015.mat,0.044,0.0345
Patient_1_test_segment_1016.mat,0.04075,0.03
Patient_1_test_segment_1017.mat,0.11075,0.08025
Patient_1_test_segment_1018.mat,0.0895,0.0615
Patient_1_test_segment_1019.mat,0.76575,0.224
Patient_1_test_segment_102.mat,0.684,0.2595
Patient_1_test_segment_1020.mat,0.0225,0.018
Patient_1_test_segment_1021.mat,0.04475,0.02975
Patient_1_test_segment_1022.mat,0.735,0.25725
Patient_1_test_segment_1023.mat,0.8055,0.354
Patient_1_test_segment_1024.mat,0.0745,0.0605
Patient_1_test_segment_1025.mat,0.0295,0.01975
Patient_1_test_segment_1026.mat,0.04325,0.0335
Patient_1_test_segment_1027.mat,0.03575,0.0275
Patient_1_test_segment_1028.mat,0.0445,0.0345
Patient_1_test_segment_1029.mat,0.05175,0.0365
Patient_1_test_segment_103.mat,0.06325,0.036
Patient_1_test_segment_1030.mat,0.12775,0.08725
Patient_1_test_segment_1031.mat,0.02825,0.0195
Patient_1_test_segment_1032.mat,0.26975,0.12875
Patient_1_test_segment_1033.mat,0.05975,0.049
Patient_1_test_segment_1034.mat,0.02375,0.017
Patient_1_test_segment_1035.mat,0.03525,0.027
Patient_1_test_segment_1036.mat,0.05225,0.0405
Patient_1_test_segment_1037.mat,0.57975,0.45775
Patient_1_test_segment_1038.mat,0.80225,0.3355
Patient_1_test_segment_1039.mat,0.10075,0.07025
Patient_1_test_segment_104.mat,0.04675,0.037
Patient_1_test_segment_1040.mat,0.0215,0.019
Patient_1_test_segment_1041.mat,0.04,0.0285
Patient_1_test_segment_1042.mat,0.0255,0.0175
Patient_1_test_segment_1043.mat,0.0355,0.02825
Patient_1_test_segment_1044.mat,0.0465,0.03575
Patient_1_test_segment_1045.mat,0.05225,0.03525
Patient_1_test_segment_1046.mat,0.05175,0.03975
Patient_1_test_segment_1047.mat,0.03075,0.02625
Patient_1_test_segment_1048.mat,0.03925,0.03025
Patient_1_test_segment_1049.mat,0.037,0.028
Patient_1_test_segment_105.mat,0.0425,0.0345
Patient_1_test_segment_1050.mat,0.029,0.02225
Patient_1_test_segment_1051.mat,0.2905,0.1025
Patient_1_test_segment_1052.mat,0.036,0.02575
Patient_1_test_segment_1053.mat,0.052,0.03775
Patient_1_test_segment_1054.mat,0.0345,0.0205
Patient_1_test_segment_1055.mat,0.03475,0.02725
Patient_1_test_segment_1056.mat,0.055,0.04025
Patient_1_test_segment_1057.mat,0.1025,0.0835
Patient_1_test_segment_1058.mat,0.23575,0.08725
Patient_1_test_segment_1059.mat,0.036,0.02675
Patient_1_test_segment_106.mat,0.03825,0.02775
Patient_1_test_segment_1060.mat,0.03,0.02375
Patient_1_test_segment_1061.mat,0.03125,0.022
Patient_1_test_segment_1062.mat,0.0325,0.025
Patient_1_test_segment_1063.mat,0.0335,0.0255
Patient_1_test_segment_1064.mat,0.0915,0.03825
Patient_1_test_segment_1065.mat,0.0365,0.02475
Patient_1_test_segment_1066.mat,0.1115,0.06675
Patient_1_test_segment_1067.mat,0.7465,0.234
Patient_1_test_segment_1068.mat,0.0295,0.0215
Patient_1_test_segment_1069.mat,0.025,0.019
Patient_1_test_segment_107.mat,0.024,0.02025
Patient_1_test_segment_1070.mat,0.1495,0.07375
Patient_1_test_segment_1071.mat,0.026,0.02025
Patient_1_test_segment_1072.mat,0.04325,0.024
Patient_1_test_segment_1073.mat,0.04475,0.03475
Patient_1_test_segment_1074.mat,0.02425,0.022
Patient_1_test_segment_1075.mat,0.04275,0.02625
Patient_1_test_segment_1076.mat,0.0345,0.027
Patient_1_test_segment_1077.mat,0.057,0.0375
Patient_1_test_segment_1078.mat,0.03525,0.02575
Patient_1_test_segment_1079.mat,0.05125,0.04175
Patient_1_test_segment_108.mat,0.713,0.56425
